date,company,source_label,arr_usd,arr_type,actual_period_revenue_usd,period_type,confidence,source_type,source_1
2025-06-09,OpenAI,June 2025 10B,10000000000.0,Annual recurring revenue (ARR),,,Likely,Company disclosure,https://www.cnbc.com/2025/06/09/openai-hits-10-billion-in-annualized-revenue-fueled-by-chatgpt-growth.html
2025-06-30,OpenAI,H1 2025 4.3B,,,4300000000.0,Half-year,Likely,Media report,https://www.theinformation.com/articles/openais-first-half-results-4-3-billion-sales-2-5-billion-cash-burn?rc=9mzoog
2025-07-01,Anthropic,July 2025 4B,4000000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/anthropic-revenue-hits-4-billion-annual-pace-competition-cursor-intensifies?rc=9mzoog
2025-07-29,Anthropic,July 2025 5B,5000000000.0,Annual recurring revenue (ARR),,,Likely,Company disclosure,https://www.bloomberg.com/news/articles/2025-07-29/anthropic-nears-deal-to-raise-funding-at-170-billion-valuation
2025-07-30,OpenAI,July 2025 12B,12000000000.0,Annualized run rate,,,Confident,Company disclosure,https://www.cnbc.com/2025/08/20/openai-compute-ai.html
2025-08-01,OpenAI,August 2025 13B,13000000000.0,Annual recurring revenue (ARR),,,Likely,Media report,https://www.nytimes.com/2025/08/01/business/dealbook/openai-ai-mega-funding-deal.html
2025-10-21,Anthropic,Oct 2025 7B,7000000000.0,Annualized run rate,,,Confident,Company disclosure,https://www.anthropic.com/news/statement-dario-amodei-american-ai-leadership
2025-12-18,OpenAI,Dec 2025 19B,19000000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/openais-organizational-problems-hurt-chatgpt?rc=9mzoog
2025-12-31,Anthropic,end-2025 9B,9000000000.0,Annualized run rate,,,Likely,Media report,https://www.bloomberg.com/news/articles/2026-01-21/anthropic-s-revenue-run-rate-tops-9-billion-as-vcs-pile-in
2025-12-31,Anthropic,2025 full year,,,4500000000.0,Year,Likely,Media report,https://www.theinformation.com/articles/anthropic-hikes-2026-revenue-forecast-20-delays-will-go-cash-flow-positive
2025-12-31,OpenAI,21B end-2025,21400000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/openai-tops-25-billion-annualized-revenue-anthropic-narrows-gap?rc=9mzoog
2025-12-31,OpenAI,2025 13B,,,13000000000.0,Year,Likely,Media report,https://www.nytimes.com/2026/02/11/technology/openai-revenue-challenge.html
2026-02-12,Anthropic,Feb 2026 14B,14000000000.0,Annualized run rate,,,Confident,Company disclosure,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation
2026-02-28,OpenAI,March 2026 25B,25000000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/openai-tops-25-billion-annualized-revenue-anthropic-narrows-gap?rc=9mzoog
2026-03-03,Anthropic,March 2026 19B,19000000000.0,Annualized run rate,,,Confident,"Company disclosure,Media report",https://x.com/apoorv03/status/2029018856342290550?s=20
2026-04-06,Anthropic,Anthropic 30B April,30000000000.0,Annualized run rate,,,Confident,Company disclosure,https://www.anthropic.com/news/google-broadcom-partnership-compute
